Date & Time (Local), Date & Time (UTC),  Box Temp,  O3 Concentration,  O3 Gen Lamp Temp,  O3 Gen Ref,  O3 Meas,  O3 Ref,  Photo Lamp Temp,  Ref 4096mV,  Ref Ground,  Sample Flow,  Sample Press,  Sample Temp,  Slope 1,  Stability
11/11/2022 17:30:00,11/11/2022 16:30:00, 31.2805004119873, 0.324651747941971, -----, -----, 3739.896484375, 3739.94921875, 58.0023384094238, 4095.92651367187, 0.0527153015136719, 798.557800292969, 27.2033100128174, 39.4966812133789, 1.04713189601898, 0.222784325480461
11/11/2022 17:31:00,11/11/2022 16:31:00, 31.3333606719971, 0.940165400505066, -----, -----, 3739.79125976562, 3739.73852539062, 58.001163482666, 4095.87377929687, 0.0527153015136719, 796.222839355469, 27.2004432678223, 39.5588722229004, 1.04713189601898, 0.245456323027611
11/11/2022 17:32:00,11/11/2022 16:32:00, 31.3824977874756, 0.735195457935333, -----, -----, 3739.47485351562, 3739.52758789062, 58.0035133361816, 4095.87377929687, 0, 799.738037109375, 27.2298412322998, 39.6177024841309, 1.04713189601898, 0.269988119602203
11/11/2022 17:33:00,11/11/2022 16:33:00, 31.4070453643799, 0.324158400297165, -----, -----, 3739.31665039062, 3739.21118164062, 57.9988288879395, 4095.87377929687, 0.0527153015136719, 800.0458984375, 27.172477722168, 39.6753921508789, 1.04713189601898, 0.255373150110245
11/11/2022 17:34:00,11/11/2022 16:34:00, 31.4463138580322, 0.163317695260048, -----, -----, 3739.00048828125, 3739.00048828125, 58.001163482666, 4095.92651367187, 0.0527153015136719, 794.965637207031, 27.1789302825928, 39.7319450378418, 1.04713189601898, 0.289364725351334
11/11/2022 17:35:00,11/11/2022 16:35:00, 31.4843273162842, 0.665681540966034, -----, -----, 3738.89501953125, 3738.89501953125, 57.9976539611816, 4095.92651367187, 0, 798.095947265625, 27.1810817718506, 39.7895812988281, 1.04713189601898, 0.293990164995193
11/11/2022 17:36:00,11/11/2022 16:36:00, 31.5149669647217, 0.78102719783783, -----, -----, 3738.57861328125, 3738.52612304687, 58.0035133361816, 4095.92651367187, 0, 799.070922851562, 27.176778793335, 39.8449745178223, 1.04713189601898, 0.243568584322929
11/11/2022 17:37:00,11/11/2022 16:37:00, 31.5480480194092, 2.22237634658813, -----, -----, 3737.7880859375, 3738.15698242187, 57.9988288879395, 4095.92651367187, 0.0527153015136719, 797.095153808594, 27.0953941345215, 39.9014472961426, 1.04713189601898, 0.288076639175415
11/14/2022 12:03:00,11/14/2022 11:03:00, 23.9547939300537, -----, -----, -----, 3382.548828125, 3355.13745117187, 29.8229961395264, 4096.3486328125, 0, 804.151428222656, 26.9096717834473, 22.6763820648193, 1.04713189601898, -----
11/14/2022 12:04:00,11/14/2022 11:04:00, 24.4476985931396, -----, -----, -----, 3640.53076171875, 3631.5693359375, 34.4723434448242, 4096.2958984375, 0, 805.639465332031, 26.9075241088867, 22.8575077056885, 1.04713189601898, -----
11/14/2022 12:05:00,11/14/2022 11:05:00, 24.9187717437744, -----, -----, -----, 3756.39599609375, 3760.71850585937, 38.6984443664551, 4096.2958984375, -0.0527114868164063, 807.179016113281, 26.8340225219727, 23.1450176239014, 1.04713189601898, -----
11/14/2022 12:06:00,11/14/2022 11:06:00, 25.3549861907959, -----, -----, -----, 3806.31616210937, 3807.58129882812, 42.4255218505859, 4096.2958984375, 0, 805.511169433594, 26.8781223297119, 23.5024242401123, 1.04713189601898, -----
11/14/2022 12:07:00,11/14/2022 11:07:00, 25.7530307769775, -----, -----, -----, 3808.3193359375, 3807.42309570312, 45.7436637878418, 4096.3486328125, 0, 802.304016113281, 26.8494396209717, 23.9062442779541, 1.04713189601898, -----
11/14/2022 12:08:00,11/14/2022 11:08:00, 26.1123485565186, 2.0374538898468, -----, -----, 3775.583984375, 3773.0009765625, 48.8038520812988, 4096.2431640625, 0, 803.689392089844, 26.8404788970947, 24.3500003814697, 1.04713189601898, 0.149990141391754
11/14/2022 12:09:00,11/14/2022 11:09:00, 26.4442577362061, 1.93682420253754, -----, -----, 3718.38940429687, 3714.69921875, 51.6026954650879, 4096.2958984375, 0, 804.279479980469, 26.8067741394043, 24.8163967132568, 1.04713189601898, 0.38934451341629
11/14/2022 12:10:00,11/14/2022 11:10:00, 26.7492046356201, 0.584727048873901, -----, -----, 3645.27514648437, 3649.4921875, 54.134464263916, 4096.2431640625, 0, 805.177612304687, 26.9057312011719, 25.2940235137939, 1.04713189601898, 0.396991431713104
11/14/2022 12:11:00,11/14/2022 11:11:00, 27.0276012420654, 0.946130156517029, -----, -----, 3561.77612304687, 3566.57299804687, 56.5617027282715, 4096.1904296875, 0, 801.354431152344, 26.8537425994873, 25.8014240264893, 1.04713189601898, 0.672954618930817
11/14/2022 12:12:00,11/14/2022 11:12:00, 27.2798137664795, 1.24744522571564, -----, -----, 3472.794921875, 3477.53930664062, 58.7379112243652, 4096.1376953125, -0.0527114868164063, 804.10009765625, 26.9050140380859, 26.3125133514404, 1.04713189601898, 0.706402480602264
11/14/2022 12:13:00,11/14/2022 11:13:00, 27.5126972198486, -1.0857834815979, -----, -----, 3459.08935546875, 3457.34985351562, 58.0620002746582, 4096.1376953125, 0, 804.9208984375, 26.9218635559082, 26.8232173919678, 1.04713189601898, 0.874243438243866
11/14/2022 12:14:00,11/14/2022 11:14:00, 27.7446880340576, 0.0819748938083649, -----, -----, 3477.11743164062, 3476.90673828125, 57.9286918640137, 4096.2431640625, 0, 800.199890136719, 26.8935394287109, 27.3322238922119, 1.04713189601898, 0.860941469669342
11/14/2022 12:15:00,11/14/2022 11:15:00, 27.948579788208, 0.679457128047943, -----, -----, 3476.64306640625, 3476.16870117187, 58.037425994873, 4096.1904296875, 0, 799.045227050781, 26.888162612915, 27.8291797637939, 1.04713189601898, 0.857262551784515
11/14/2022 12:16:00,11/14/2022 11:16:00, 28.1440334320068, 0.558932423591614, -----, -----, 3479.91137695312, 3480.12231445312, 58.009349822998, 4096.1904296875, 0, 799.558349609375, 26.888162612915, 28.3311328887939, 1.04713189601898, 0.766568064689636
11/14/2022 12:17:00,11/14/2022 11:17:00, 28.3272686004639, 1.34755945205688, -----, -----, 3483.70678710937, 3483.97045898437, 58.0105247497559, 4096.1376953125, 0, 799.507019042969, 26.8673667907715, 28.8200588226318, 1.04713189601898, 0.728898942470551
11/14/2022 12:18:00,11/14/2022 11:18:00, 28.5073871612549, 1.6361358165741, -----, -----, 3487.18579101562, 3487.39672851562, 58.0105247497559, 4096.1376953125, 0, 801.046691894531, 26.8512325286865, 29.2950077056885, 1.04713189601898, 0.610881745815277
11/14/2022 12:19:00,11/14/2022 11:19:00, 28.6677646636963, 1.2077739238739, -----, -----, 3489.82153320312, 3490.03247070312, 58.0140342712402, 4096.0849609375, 0, 798.018920898437, 26.8863697052002, 29.7575550079346, 1.04713189601898, 0.566799819469452
11/14/2022 12:20:00,11/14/2022 11:20:00, 28.825174331665, 0.994458615779877, -----, -----, 3492.56274414063, 3492.40454101562, 58.0105247497559, 4096.0849609375, -0.0527114868164063, 800.379577636719, 26.892463684082, 30.2004909515381, 1.04713189601898, 0.428123205900192
11/14/2022 12:21:00,11/14/2022 11:21:00, 28.9719753265381, 0.945076107978821, -----, -----, 3495.14575195312, 3495.09301757812, 58.0070152282715, 4096.0322265625, 0, 797.53125, 26.9358463287354, 30.6391277313232, 1.04713189601898, 0.331983149051666
11/14/2022 12:22:00,11/14/2022 11:22:00, 29.0917186737061, 0.921102583408356, -----, -----, 3497.51782226562, 3497.46508789062, 58.0070152282715, 4096.0322265625, 0, 798.916931152344, 26.9430179595947, 31.0513706207275, 1.04713189601898, 0.294336766004562
11/14/2022 12:23:00,11/14/2022 11:23:00, 29.1985263824463, 1.47245454788208, -----, -----, 3499.78442382812, 3499.73193359375, 58.0046730041504, 4095.97924804687, -0.0527114868164063, 796.24853515625, 26.9534130096436, 31.4536724090576, 1.04713189601898, 0.232374459505081
11/14/2022 12:24:00,11/14/2022 11:24:00, 29.3152980804443, 1.44874596595764, -----, -----, 3501.36596679687, 3501.57690429687, 58.0105247497559, 4096.0849609375, 0, 800.020202636719, 26.8842163085938, 31.8315906524658, 1.04713189601898, 0.263295501470566
11/14/2022 12:25:00,11/14/2022 11:25:00, 29.4229907989502, 1.33020520210266, -----, -----, 3503.421875, 3503.57983398437, 58.0081825256348, 4095.97924804687, -0.0527114868164063, 796.838745117187, 26.8878040313721, 32.2073974609375, 1.04713189601898, 0.234330326318741
11/14/2022 12:26:00,11/14/2022 11:26:00, 29.5292301177979, 4.5577187538147, -----, -----, 3504.63427734375, 3504.84497070312, 58.0046730041504, 4095.92651367187, 0, 797.274841308594, 26.8526668548584, 32.5690727233887, 1.04713189601898, 0.743199706077576
11/14/2022 12:27:00,11/14/2022 11:27:00, 29.6188983917236, 6.58364629745483, -----, -----, 3506.37377929687, 3506.63745117187, 58.0058479309082, 4096.0322265625, -0.0527114868164063, 797.172180175781, 26.8519496917725, 32.9132537841797, 1.04713189601898, 1.800448179245
11/14/2022 12:28:00,11/14/2022 11:28:00, 29.6983470916748, 4.68555402755737, -----, -----, 3508.0078125, 3508.271484375, 58.0046730041504, 4096.0322265625, 0, 792.271301269531, 26.7870578765869, 33.2437973022461, 1.04713189601898, 2.10076189041138
11/14/2022 12:29:00,11/14/2022 11:29:00, 29.785249710083, 0.804394900798798, -----, -----, 3510.38012695312, 3510.22192382812, 58.0070152282715, 4096.0322265625, 0, 795.786499023437, 26.8946151733398, 33.5514030456543, 1.04713189601898, 1.82086086273193
11/14/2022 12:30:00,11/14/2022 11:30:00, 29.8519268035889, -1.65692448616028, -----, -----, 3512.06689453125, 3511.96142578125, 58.0046730041504, 4095.97924804687, 0, 795.350402832031, 26.8935394287109, 33.8517684936523, 1.04713189601898, 2.59496068954468
11/14/2022 12:31:00,11/14/2022 11:31:00, 29.949914932251, 0.0544696114957333, -----, -----, 3513.85913085937, 3513.75366210937, 58.0023384094238, 4095.97924804687, 0, 796.24853515625, 26.8978424072266, 34.1343841552734, 1.04713189601898, 2.93110346794128
11/14/2022 12:32:00,11/14/2022 11:32:00, 30.0289554595947, 0.874878346920013, -----, -----, 3515.01879882812, 3515.01879882812, 58.0046730041504, 4095.97924804687, 0, 800.892639160156, 26.9096717834473, 34.4065170288086, 1.04713189601898, 1.87911200523376
11/14/2022 12:33:00,11/14/2022 11:33:00, 30.1053905487061, 1.28625309467316, -----, -----, 3516.65307617187, 3516.54760742187, 58.001163482666, 4096.0322265625, 0, 799.096557617187, 26.9448089599609, 34.6694641113281, 1.04713189601898, 0.89321756362915
11/14/2022 12:34:00,11/14/2022 11:34:00, 30.1829776763916, 0.683017194271088, -----, -----, 3518.076171875, 3518.234375, 58.0023384094238, 4095.97924804687, 0, 795.50439453125, 26.8809928894043, 34.9151496887207, 1.04713189601898, 0.888532221317291
11/14/2022 12:35:00,11/14/2022 11:35:00, 30.2517375946045, 0.755680322647095, -----, -----, 3519.28881835937, 3519.34130859375, 58.0058479309082, 4095.97924804687, 0, 792.579345703125, 26.8849334716797, 35.1577339172363, 1.04713189601898, 0.381810039281845
11/14/2022 12:36:00,11/14/2022 11:36:00, 30.3079357147217, 0.925150752067566, -----, -----, 3520.44848632812, 3520.6064453125, 58.0035133361816, 4095.87377929687, 0, 789.859497070313, 26.8892383575439, 35.3972434997559, 1.04713189601898, 0.186204567551613
11/14/2022 12:37:00,11/14/2022 11:37:00, 30.3753108978271, 1.19133818149567, -----, -----, 3521.76635742187, 3521.97705078125, 58.0046730041504, 4095.97924804687, 0, 792.245666503906, 26.8748950958252, 35.6163520812988, 1.04713189601898, 0.17410135269165
11/14/2022 12:38:00,11/14/2022 11:38:00, 30.4475955963135, 0.97293084859848, -----, -----, 3523.55859375, 3523.611328125, 58.0035133361816, 4095.92651367187, 0.0527153015136719, 781.084167480469, 26.8845748901367, 35.8187026977539, 1.04713189601898, 0.177457422018051
